tf_idx,target_idx,label
8987,1898,1
4304,5249,0
2424,7117,0
4142,10406,0
2972,7508,0
3135,5756,1
9913,6413,0
2958,8986,1
3133,4177,1
2979,1549,0
10168,5605,0
1355,4823,0
6383,356,0
10069,3807,1
12378,4453,1
6383,6834,1
10166,11319,1
3522,12023,0
687,9872,0
6864,1139,1
12378,6409,0
2921,5737,1
3133,6877,1
5947,12574,1
2281,5512,1
6672,710,1
10590,11811,1
2540,2003,1
7958,12251,1
5835,9478,0
10389,10288,1
8986,6671,0
12378,8398,1
9734,2553,1
6374,8850,0
3720,11732,0
6085,8698,1
687,5674,0
12118,7636,0
2281,4414,1
12322,2063,1
10590,1074,1
5947,11013,1
7830,5198,0
3078,2762,0
6659,6054,0
2988,1186,1
12162,45,1
1353,4356,1
12378,6783,1
6411,2745,0
9033,703,0
2537,720,1
10500,4007,0
4623,6546,0
10169,4064,0
2977,2141,1
6383,4420,1
11833,8161,1
2281,7570,1
6383,7118,0
6661,6793,0
9448,6251,0
7048,696,1
3133,10046,1
3781,5081,0
6683,9179,1
5711,1205,1
7830,7697,0
4538,3785,0
3133,1427,1
7250,6085,1
2281,10368,1
2504,2820,0
2392,9793,0
423,2582,1
12383,1262,0
9922,9921,1
12593,9701,0
3135,24,1
3522,9482,0
12322,1325,0
2921,10753,1
565,7014,0
10502,4999,0
5930,11180,0
3135,621,1
2537,434,0
2980,5914,1
3648,3881,0
8986,7180,1
3781,5377,0
9734,10422,1
2507,10046,1
12146,4344,1
9995,9998,1
11733,10215,0
3846,6465,1
2504,5565,0
9933,828,0
8601,5230,0
10166,12583,1
3133,9979,1
6370,11159,1
7261,11362,0
2537,6911,1
11733,10508,1
8575,6837,1
12378,7717,0
9916,11293,1
564,5862,1
7956,5174,0
7252,6085,1
6383,5947,1
7612,11029,1
6383,8859,1
10503,11807,0
3847,4563,0
5947,9681,0
4142,11928,0
3135,8706,1
2554,2496,1
11833,1029,1
3135,4156,1
8425,3773,1
6682,12470,0
6864,9420,1
12378,6671,1
12270,4329,1
2282,2222,0
5710,120,1
9995,11915,1
5710,9120,0
9734,9265,1
11077,7593,0
2959,3011,0
3133,423,1
9735,8437,0
1354,10866,0
4669,4523,0
2553,3273,0
2284,1431,0
4856,10253,0
12378,11387,1
4304,11664,1
6861,11465,1
10166,3926,1
4625,3430,1
12146,10132,0
3191,1980,0
4310,6111,0
11732,4617,0
2957,9347,1
10502,6383,1
2560,12287,0
9916,8056,1
2282,543,1
7836,4896,0
7833,1839,0
1355,10742,0
6374,1251,0
12595,12513,0
10474,3726,0
2960,45,1
3787,11623,0
10526,10826,0
9913,1085,1
6864,10156,1
4308,3073,0
2286,8361,0
5710,6096,0
9995,1296,1
6683,12776,0
2507,9657,0
11078,10118,0
3133,9191,1
6442,716,0
2392,7552,1
6672,235,1
9734,10603,1
3078,10744,1
2392,1983,1
8425,9738,1
5947,7738,0
3670,9796,0
9995,2560,1
8425,1684,0
12593,10630,0
2957,12138,1
509,9921,1
423,5906,1
7048,305,1
10169,10309,0
11529,12763,0
9995,5803,1
10500,6040,0
2957,9356,1
6383,6754,1
12564,10371,0
2343,346,0
6682,9565,1
11732,8001,0
4142,7527,0
9916,9006,1
6863,6668,0
10389,2173,1
6673,2947,1
2979,12525,0
7836,3990,0
9925,1637,1
3137,12288,0
2447,11951,0
12083,3570,0
10167,664,1
12328,10770,0
4314,4726,1
565,1720,1
6370,1898,1
6542,9701,0
2988,3682,0
12162,132,0
6085,10359,1
4619,9361,0
6085,5692,1
12118,8786,1
11078,10406,0
2957,11833,1
707,7921,1
6673,11824,0
8036,2410,0
9448,4398,0
10389,3156,0
3675,5353,0
3259,5584,0
10389,5731,1
6856,9838,1
2560,1029,1
11733,11700,1
7958,11293,1
2957,2509,1
2281,9927,1
5667,9399,0
4623,2443,0
2558,10089,0
12324,8571,0
4617,9996,0
8425,8449,0
2960,1776,0
2987,7842,1
12700,1823,1
7261,12635,0
669,11855,1
6085,2294,1
3135,9877,0
4420,3500,0
6856,11765,1
2991,10558,0
9916,2057,1
6442,3939,0
1345,9957,0
8601,2099,0
9925,5700,1
9732,10022,1
3670,10701,0
6856,5770,0
6374,350,1
6383,8627,1
3787,9116,0
2957,5673,1
11077,7413,1
6085,806,1
2288,7180,1
12275,6068,0
6383,8205,1
9806,5914,1
11528,3055,1
4622,6616,1
12564,4467,0
10474,4844,0
2972,3197,0
4421,969,0
7842,697,0
2957,1842,1
2980,7272,1
564,754,1
10503,11285,0
12442,7474,1
3078,11388,0
6658,3384,0
11529,9203,0
2957,6493,1
6661,10751,0
4312,11857,0
10499,3449,1
6383,1983,1
12270,6952,0
6867,12563,0
3846,1568,0
2554,6573,0
566,3548,1
8425,10865,0
3787,2116,1
9925,1574,1
3133,7577,1
7251,1503,1
7048,11629,1
6378,6769,0
12442,2943,0
423,9123,1
3586,12752,0
10620,11154,1
9930,5521,0
4613,10045,1
5712,4811,0
8600,10245,0
7251,6549,1
4623,6616,1
2392,674,1
2281,443,1
5711,8417,1
4856,1389,0
5667,438,0
2987,3055,1
2957,4427,1
12146,7031,0
565,9489,0
12383,7210,0
10590,10504,1
11833,10756,0
2282,3280,0
12134,12028,0
4310,8130,0
742,10063,1
6378,3538,0
3259,2755,1
7842,4883,0
12662,10315,0
6658,4143,1
2921,5500,1
6852,4812,0
5930,2317,1
7251,11633,0
9734,7145,0
3133,3025,1
2553,350,1
10585,7407,1
9734,7485,0
9913,4992,0
3133,9069,1
9913,10348,0
9920,7941,0
6370,5786,0
12275,4830,0
2504,4816,0
12564,1092,0
7958,12014,1
7956,12762,1
5834,2439,0
9913,7733,0
6085,12574,1
12124,8592,1
3133,4499,1
3522,8948,0
10500,3588,1
8987,1224,1
2988,6896,0
6542,12290,0
9732,3078,0
6864,11793,0
7251,1265,1
7958,478,1
12162,211,0
12700,1052,0
3133,9922,1
10585,1746,1
7956,6671,1
6672,8268,0
4309,1427,1
3748,3632,0
10166,9926,1
3133,5781,1
10499,289,1
7250,10744,0
3683,6933,0
7956,362,1
2540,8192,0
3133,11093,1
5710,11334,1
2959,2881,0
9925,10033,1
2507,5610,1
12378,11945,1
12652,4191,0
2960,1106,0
7836,5613,1
5947,3015,1
2977,11026,1
3749,11686,0
3670,5649,0
3133,8349,1
12340,12245,0
9916,10335,1
9996,8417,1
2957,12509,1
5933,11594,0
6858,6414,1
5835,902,0
5835,12475,0
6683,6632,0
2957,9323,1
2281,8527,1
6673,11607,1
564,6281,1
2281,4908,0
2281,12432,1
9925,10629,1
9925,10132,1
7830,4183,1
1829,4221,0
2972,2095,0
12557,679,0
3729,1281,1
9735,4957,0
5834,3585,0
10389,8223,1
4625,2884,1
2960,4424,1
4613,10214,1
2979,2274,0
7261,8548,0
6661,4130,0
8600,5808,1
2558,8192,1
5711,6060,0
8425,10593,1
7830,12526,1
2281,5874,1
3135,2288,1
6664,7784,0
4625,11820,1
10389,10797,1
4312,9955,0
5837,5300,0
8243,12343,0
7048,3562,0
4613,2567,1
564,2231,1
11078,10882,0
6085,8329,1
2957,11407,1
12563,8504,0
12366,2153,1
12124,3782,0
9913,1173,0
10585,5894,1
10474,4004,0
6543,8195,1
6377,360,0
9924,1327,0
10167,5867,1
9932,5429,0
4304,8627,1
6672,9456,0
10066,6161,0
7251,8653,1
5835,1793,1
2560,12594,0
6085,9709,1
5947,5831,1
423,1330,1
6815,3650,0
3135,2003,1
4421,1171,1
6672,1,1
1345,3090,0
10526,2594,1
9916,7952,0
10168,4359,0
9455,2213,0
6878,9425,1
4538,9734,1
3787,3786,0
6883,8475,0
2957,10980,1
1345,2225,0
3586,12757,0
9995,5420,0
12378,12574,1
12146,9326,0
4309,7513,0
2957,6451,1
10168,6601,0
4308,2685,0
10620,4389,1
5711,11129,0
5837,6632,1
10389,531,1
3133,6542,1
6138,10294,0
7958,2153,1
3749,8296,1
2957,6281,1
10618,7685,0
5711,11841,1
3133,443,1
9995,10797,1
6138,12584,0
6878,3954,0
2349,12000,1
8036,12245,0
10500,8148,0
12322,6281,1
12184,9811,0
2957,2429,1
2507,2396,1
11732,7353,1
509,10053,0
9916,10542,1
11833,11571,1
8427,11080,0
9455,3666,0
2392,4420,1
6411,12272,0
7958,7975,1
2283,5698,1
8558,11374,1
4309,2234,1
2957,4322,1
4613,7185,0
1989,839,0
6085,8777,1
12340,6355,0
6864,12271,1
9925,1213,1
10590,6369,0
10462,2785,1
2988,1890,0
12162,7751,0
11528,1623,1
12563,4415,0
565,12242,1
9735,6383,1
3729,6629,0
4858,3944,0
2957,4337,1
9925,2959,1
12366,9329,1
6085,6281,1
2957,12287,1
8986,5387,0
10167,6815,0
10389,6630,1
4625,9364,1
2282,12451,0
1355,2056,0
12275,10406,0
2281,7694,1
12038,6786,0
2957,3865,1
6544,8839,0
7048,812,0
11732,9266,1
10169,353,1
3683,2901,0
3729,7336,0
3078,8784,1
10069,2559,0
2957,9364,1
2392,7997,1
10618,6298,0
10167,1256,1
9734,6462,1
2957,130,1
7842,6416,1
9448,9919,0
1354,9995,1
10590,187,1
9913,8202,1
2281,9260,1
9924,567,0
4253,2688,0
2957,4378,1
2957,7522,1
5947,5737,1
2560,12743,0
7384,4378,1
8036,3524,0
9735,5958,1
7048,8202,0
7048,3749,1
10650,7764,0
2281,10709,1
9995,9042,1
2284,11672,1
6682,809,1
12322,4499,1
6852,10235,0
5834,9273,0
7958,8835,0
9922,8687,0
742,1519,0
10618,2438,0
6673,10331,0
7830,4775,1
2957,5844,1
7833,12581,0
8600,1735,1
2288,10158,1
10389,4127,0
8601,4966,0
3774,4072,0
12595,5043,0
9916,2947,1
6862,5514,0
564,5752,1
5707,10967,1
4142,2691,0
10585,1074,0
9995,1643,1
9930,12663,1
2281,1747,1
6683,3107,0
2957,11897,1
7836,8146,0
7842,7400,0
12378,11820,1
9734,10096,0
12270,10279,0
12324,3028,0
2957,203,1
6861,7472,1
4622,4189,0
3137,2742,0
4625,11335,1
10066,12223,1
3787,5967,0
5711,5278,0
7830,3367,1
1989,8908,0
6370,11650,1
3787,12500,0
7958,10542,1
2957,2553,1
7384,102,1
10389,1829,1
10066,5277,0
4613,8317,0
7830,8769,0
6664,1789,0
3135,5836,1
6878,6632,1
9735,12727,0
6682,6335,1
3748,6547,0
10389,5851,1
2282,12024,0
3778,1594,0
12378,636,1
7958,5643,1
9925,10058,1
2959,7570,1
687,7225,0
5933,12011,0
2281,10748,1
12118,3726,0
7958,1623,1
9916,7877,0
12378,8537,1
5667,1575,1
2979,3711,0
3522,2351,0
6383,422,1
2957,3713,1
6383,6670,1
3135,2507,1
6664,3160,1
10069,8824,0
9916,10249,1
6851,10148,0
12328,8972,0
7840,6674,1
6374,6862,1
3078,10313,0
11733,5834,1
9913,9255,1
12378,6971,1
4613,9811,1
8425,8996,0
3670,2252,0
5667,5884,0
564,11053,1
5712,6830,0
12275,6281,1
2424,11649,0
6377,8021,0
475,3098,0
2921,794,0
10499,11113,1
2987,1883,0
10462,5976,0
2957,2063,1
2504,2581,0
2392,9825,0
9995,3945,1
11529,5185,0
4668,11068,1
7958,4760,0
2282,5872,1
3137,5844,0
8601,11080,0
3135,4672,1
5933,7930,0
6544,9134,0
2288,7577,1
6085,11141,1
6661,12569,0
10169,1943,0
10618,7044,0
10389,7670,1
2281,1629,1
10167,7663,1
6861,10923,0
7958,120,1
6378,245,0
5710,980,1
9735,6961,0
12146,12581,0
12322,9886,0
3799,10161,0
7384,3500,0
2921,9342,1
10167,10573,0
10474,7771,0
7261,3767,0
12146,1365,1
12378,236,1
11833,7752,0
12557,9846,0
6374,4364,1
6664,6326,1
3133,434,1
11833,5648,1
2507,4424,1
2281,12389,1
2392,1509,1
6858,1797,1
11833,8066,1
9995,3616,1
10585,2395,1
8558,3196,1
8558,689,1
6085,12271,1
6383,6860,0
7958,6661,0
3799,3829,0
7958,2703,1
2560,6287,0
6858,7408,1
6658,7691,0
10474,1467,1
6138,1076,0
9732,8385,0
11077,7436,1
6085,7609,1
6658,3456,0
10169,9734,1
6377,11156,0
2957,5994,1
5930,4348,1
6383,7943,1
12322,7758,1
8558,7347,1
6138,10613,0
707,7235,1
3846,8205,1
2957,819,0
6085,1952,1
2987,8095,0
12557,5914,0
10618,3439,1
11733,3866,1
3135,8953,1
9453,17,0
2558,10782,0
7956,8847,0
4617,102,0
2393,8947,0
6672,8599,1
6862,12302,1
12700,5338,0
5930,9431,0
5837,4849,0
8987,469,0
10389,8065,1
6085,7126,1
3749,1326,0
2281,9855,1
12162,742,1
2959,2116,0
10462,2881,0
2281,3975,0
2540,7734,0
4668,8647,0
2553,2921,1
8425,9319,1
6664,8368,1
12118,1056,0
10389,3004,1
11733,7038,0
2957,7841,1
9916,442,1
4308,403,1
8600,1447,0
9995,9681,1
7830,12025,0
2343,10669,0
2281,6544,1
10590,7332,0
10169,7570,1
6883,4036,0
10618,12385,1
2507,6827,0
2979,8068,0
1354,3675,0
2504,9627,0
8601,4696,0
3781,4275,1
6682,12443,1
7830,2343,1
2281,10696,1
4623,6740,0
3135,9422,1
4304,751,0
6862,9922,1
10069,11817,1
10169,6669,0
3522,3964,0
6672,4172,1
9932,1810,1
4420,7290,0
10527,533,1
8987,10500,1
4619,692,0
8575,8770,1
4623,12243,1
10585,192,1
10500,1520,0
6383,10612,1
12700,138,0
7261,9738,0
2281,11465,1
12118,7257,1
6370,7633,0
475,4935,0
7842,6887,1
5710,2229,1
12652,1176,0
7958,1183,1
6851,3078,0
9995,10142,1
5710,11499,0
6683,6176,1
3648,4837,0
2921,7355,1
10618,7254,0
7836,2532,0
7958,1682,1
10499,973,1
3133,9329,1
2281,2742,1
2957,5958,1
3133,6437,1
3749,7539,0
2281,8384,1
2921,842,0
6878,7793,1
6862,12403,0
6542,1614,0
12118,2596,1
7958,8914,0
3522,1323,0
12146,9983,1
4142,3502,0
9925,5247,0
10170,3759,0
6867,5928,0
10618,10041,0
6858,202,1
9913,9088,1
565,10257,0
11833,12517,1
9734,3024,1
6661,10058,0
6085,11031,1
2281,423,1
9916,7205,1
5834,11841,1
10389,9364,1
6657,7237,0
5712,0,0
10170,9544,0
10501,10788,0
3133,1823,1
9925,8865,0
7956,7176,0
4421,6564,1
3135,9429,1
3781,2895,0
7836,6751,0
11732,11698,1
10499,2395,1
9996,5491,0
6683,198,0
10499,10127,1
3748,8202,1
6085,6899,1
3078,5303,0
10650,11600,0
6085,9364,1
742,8397,1
8558,1326,0
2553,6383,1
3078,2338,1
9995,10180,1
9995,5881,1
4668,11204,0
3683,7911,1
3648,9340,0
9932,10508,1
12275,2642,0
6085,9429,1
4857,9176,0
10166,4314,1
6085,6667,1
7958,214,1
1354,5756,0
2980,6615,1
12378,8576,1
2959,947,0
4420,7880,0
9924,3699,0
565,6345,0
6663,8065,1
9735,4580,0
11528,305,1
10166,1052,1
565,7272,1
6383,6967,1
4310,9985,0
10526,5330,0
509,10652,1
10167,8210,1
10389,7999,1
5834,2319,0
12146,8283,1
9933,9673,0
3135,1271,1
6275,10498,0
10166,1105,0
4309,201,1
8427,5786,1
6878,2378,1
6374,3450,1
1354,824,0
2957,4452,1
10169,12694,0
10474,3691,1
5834,313,1
2284,12239,0
7836,10184,1
3847,10520,0
6383,8880,1
9916,3439,1
2284,9925,1
2957,5809,1
2957,7180,1
2392,6555,1
4310,7886,0
8600,9822,0
5707,7491,0
9995,12207,1
11078,3596,0
2286,2410,0
707,7999,1
6672,755,1
687,9462,1
2957,6367,1
6851,10066,1
3258,7378,0
8999,9167,0
9995,7563,1
4668,3643,1
10389,8629,1
12146,9296,0
2558,3834,0
7956,3392,0
9916,4587,1
9932,10076,0
2537,6007,0
10462,8113,0
12118,4567,0
7842,12322,0
7840,9305,0
12146,4176,0
10502,4186,0
4857,2552,0
6370,6846,0
9995,201,1
11733,8223,0
423,1859,0
6856,10751,0
687,10539,0
2284,7695,1
6673,261,0
7842,30,1
10069,4471,1
10389,3451,1
12378,1411,1
4617,8575,1
7384,8964,1
1355,7063,0
6815,6026,0
9734,8321,0
9806,7066,0
4421,8967,1
12118,1666,1
2960,22,1
3522,8854,0
6383,5902,1
6085,6888,1
9933,5703,1
2959,8622,0
509,9950,1
2288,985,0
3133,10249,1
3729,418,0
4309,6678,1
2281,12049,0
6682,1499,0
2957,2580,1
12593,2163,1
10462,4871,1
7958,4212,0
7261,4726,1
7384,5523,0
6864,6835,0
12595,1969,0
12340,11828,1
12340,3533,0
10168,698,0
669,12399,1
8987,687,1
6663,7587,1
8425,7507,1
9453,9130,0
12378,11421,1
3683,8263,0
6383,288,1
3258,562,0
12378,10328,1
2281,1313,1
9448,3069,0
7252,4583,0
10590,8397,1
3135,10291,1
6658,2430,0
4538,12423,0
12162,9440,0
10474,3055,1
5667,11894,1
11833,11319,1
2281,10917,0
2281,742,1
2957,7657,1
10620,7310,1
12328,12262,0
6661,3371,0
6858,994,0
4856,6085,1
11077,11576,1
12162,8163,1
6543,12233,0
8986,151,0
3683,8554,1
6664,19,1
4668,3774,1
4625,11030,1
9920,1492,0
9995,8373,1
3133,1734,1
5667,4352,1
11528,7728,1
8987,2175,1
9925,4280,0
11528,1077,1
12378,8724,1
2987,1765,1
10170,9891,1
6543,1920,0
6682,8333,0
2921,1899,1
8427,3593,0
2507,17,0
1353,10050,0
9735,2508,0
4313,4152,1
8575,8085,1
8243,12409,0
12700,3601,0
2967,5469,0
2424,11463,0
12038,5931,0
12146,6545,1
2979,6138,1
566,11577,1
12275,1599,0
4617,11802,0
6673,3104,0
9448,12352,1
6543,432,1
4308,10499,1
6383,7859,1
9033,11064,0
2957,4845,0
9995,7478,1
2957,1597,1
6852,5081,0
4613,12117,1
10166,129,1
11833,1900,1
10499,799,1
6085,11081,1
9732,2372,0
11833,3752,1
10169,420,0
565,320,0
5712,1375,1
10166,12424,1
8575,8771,0
2281,6027,1
6383,1812,1
4623,4348,1
566,1842,1
9930,6129,1
2957,2152,1
8425,885,0
2988,7575,1
2540,11604,1
10168,6373,0
5837,926,0
7836,2854,0
9995,7127,1
7956,10633,0
5712,7348,1
2957,1262,1
2558,4060,0
3799,3498,0
2392,5773,1
6138,8463,0
6383,23,1
707,3713,0
6661,11013,0
6683,7421,1
2281,1062,1
2281,7614,1
1353,4528,0
5667,10127,1
4421,10603,1
11833,1694,1
2987,1797,1
9806,4338,0
12378,7986,0
2957,6416,1
5933,10759,0
3133,9998,1
10502,637,1
8987,3450,1
9925,1836,1
10527,537,0
9925,4255,1
3133,1160,1
9996,2788,0
6856,9949,0
9995,1267,1
8601,3044,0
687,6542,1
9920,7399,0
2349,12562,0
4617,6027,0
12118,1498,0
5711,10428,1
3683,11389,0
12366,10892,0
11833,5514,1
3799,6788,0
4617,9238,0
5834,7726,0
11078,7852,0
742,5191,0
6442,6214,0
3133,1720,1
12442,3972,1
566,403,0
5947,6548,1
11733,8142,0
2507,6564,1
12700,3563,0
3133,2004,1
12563,4606,0
3133,6104,1
5947,4471,1
6138,8941,0
6863,5818,0
2394,3320,0
10069,2003,1
8036,4323,0
2286,2504,0
2281,11615,1
2281,9295,1
9735,8646,1
10389,8002,1
3781,2206,0
9925,3463,1
12272,7530,0
7384,1574,1
4304,867,0
10590,3011,0
6383,11535,1
4304,2913,1
5712,10961,0
566,996,0
10167,2465,0
2987,6148,0
3133,9732,1
11833,11026,1
2957,772,0
2957,7182,1
2537,12609,0
7836,4531,0
7251,230,1
6672,4179,1
10618,1361,1
3133,7472,1
2281,7804,1
9806,7533,1
9995,6542,1
2980,479,1
6085,9887,1
2343,426,0
2507,9355,1
2281,10132,1
7841,3217,0
6663,2566,0
5837,2286,1
10389,1029,1
12322,1777,0
10527,567,0
4309,1837,0
9916,4760,1
12351,5162,0
9995,8766,1
10389,9374,1
9816,6101,0
6864,9738,1
3135,5853,1
7840,9533,1
6085,9374,1
7956,12600,0
9995,12401,1
7958,12481,0
1829,6436,0
11733,6883,1
2504,3584,0
1355,11282,1
10389,8975,1
5711,7146,1
3078,6543,1
3135,7254,0
12595,5610,0
7252,3829,0
2507,11419,1
3135,11860,1
12378,9627,1
10069,9273,1
9916,5560,1
6658,1050,1
11733,3189,1
7958,6667,1
3135,7177,1
2921,7649,1
3729,6640,0
9732,9875,0
3670,2397,0
3133,9734,1
4310,9979,0
11833,10617,1
12118,9453,1
6754,753,0
9925,3132,1
8558,1247,1
8558,12317,0
4313,7714,0
3670,4715,0
5933,4347,0
3748,12063,0
6683,6090,1
8036,1387,0
5933,10923,0
6383,11581,1
10170,2185,0
3133,10969,1
3137,1817,0
7048,779,1
2504,2070,0
2957,10478,1
6863,2474,0
4613,4500,1
9922,6319,0
11833,4773,1
2283,2158,0
742,717,1
10499,4309,1
12378,7723,1
5835,4305,1
3799,611,0
6383,3956,0
2977,8648,1
10500,7663,1
9995,8920,1
2980,2622,0
2281,4532,1
10474,8921,1
10503,8484,0
10618,8921,1
9916,3212,1
9455,6775,0
4625,2829,1
6867,10439,1
6670,9941,0
11833,8002,1
6383,566,1
9806,9524,1
3729,4488,0
3135,8421,1
3720,4938,0
6374,3445,0
3846,12475,0
6383,6494,1
6383,10079,1
2554,8742,0
12366,11036,0
7841,1860,0
6851,7731,0
8601,1980,0
12652,1089,0
9925,3206,0
2507,12196,0
1353,9520,0
4858,6744,0
6138,3541,0
423,10202,1
12162,12254,1
4309,8967,1
4421,7835,0
3135,5825,1
5707,497,0
2288,1229,0
565,2553,1
6138,8333,1
10585,11277,0
8601,6759,0
6858,5701,1
10389,42,1
9735,1430,1
687,9609,0
4142,9341,0
9816,8333,1
9925,1313,1
9806,6803,1
6542,5802,1
2980,6562,0
11733,12005,0
6862,5221,0
10069,2855,1
6673,565,1
7840,8321,0
12322,8009,1
10389,12287,1
12083,11446,0
6878,4862,1
12563,12765,0
9916,2467,1
10168,12708,0
10499,7177,1
5834,4952,0
5711,10823,0
10474,6745,1
2959,1737,1
12162,1499,1
10620,836,1
9735,834,1
6377,541,0
9932,970,1
5947,213,0
9925,5814,0
10167,3378,0
2540,622,0
10618,5961,1
2507,1606,0
9805,7783,0
9925,2716,0
2967,11333,0
6661,3571,0
9033,6450,0
12162,699,1
10527,6397,1
3135,10612,1
8986,7842,1
2282,2521,0
10166,2490,1
687,2687,0
8036,9307,0
3137,9141,0
1353,5343,0
6672,439,1
2560,1377,0
3787,2582,1
9925,6370,1
7958,6929,1
10500,11463,0
12383,12672,0
12124,8511,0
10618,2786,0
2537,6859,0
9732,8824,0
12595,2643,0
4857,9852,0
10500,9452,1
6411,6211,0
1989,2084,1
9925,7637,1
564,125,0
3135,5707,1
6085,8373,1
5930,4217,0
3683,3376,1
7384,1152,0
12146,1014,1
2957,10968,1
12442,8327,0
10167,4806,1
12378,2118,1
687,2175,1
7252,7544,1
8987,806,0
12118,5381,0
8600,1070,0
2281,3139,1
2957,479,1
12442,11159,1
6657,11049,0
4623,1021,0
2349,2947,0
2286,581,0
6878,1899,0
2921,6927,1
6672,8070,1
9995,694,1
3787,8942,0
742,3824,0
10069,11029,1
669,10817,0
3847,9183,0
9806,11833,1
10389,470,0
742,2758,0
6861,6929,0
2972,766,0
6851,10196,0
12351,4203,0
10585,2003,1
10170,8275,0
4857,4604,0
3133,10303,0
7048,3468,1
10170,9404,1
3774,525,0
2558,7654,1
9816,6167,0
12366,11551,0
10389,10821,1
2987,2142,0
4421,4197,1
6085,6585,1
2537,8221,1
9033,2655,0
9925,3127,1
6659,1402,0
2988,11397,0
3258,9504,0
12322,3442,0
8558,664,1
9930,1551,0
6663,2469,0
6138,1970,0
2957,12574,1
10620,7407,1
12593,4042,0
3133,11853,0
11833,10066,1
2283,11284,1
6377,8623,0
2987,6549,1
3781,6376,0
9913,10087,0
3135,2369,0
9925,22,1
5837,4596,0
12322,11807,1
3586,9076,0
8987,1336,0
3135,9626,1
2281,10599,1
3135,6383,1
4310,482,0
2987,8000,1
3846,6175,0
6138,2395,1
3135,5929,0
2991,6610,1
2537,8705,0
3135,8653,1
7958,2209,1
4625,3498,1
4858,9138,0
2987,8330,0
5947,11282,0
9933,6089,0
4613,12073,1
2987,8706,0
12328,271,0
3133,11031,1
6383,7861,1
2921,2277,1
10389,2507,1
6856,1507,0
2991,12150,1
3135,2788,1
6878,12353,0
2988,11543,1
11733,11660,0
10167,11834,1
3135,2855,1
6138,8027,0
3670,5121,0
7252,7627,0
2284,10332,0
2343,718,0
6661,6478,0
6085,1829,1
6442,1478,0
566,2930,0
12378,11029,1
2957,3493,1
8600,2867,1
2393,1542,0
6663,1015,1
12442,5037,0
3078,6376,0
2957,9802,1
5835,7726,1
4314,7002,1
9816,7749,0
7841,10954,0
687,4144,1
2957,11374,1
10585,465,1
4617,2863,0
9995,6672,1
10170,11512,0
4309,4653,1
8427,6160,0
5834,10243,1
12563,4625,0
12366,841,0
6878,1746,1
9455,2969,0
10500,436,1
2281,9737,1
11833,6160,0
9924,5681,0
6672,1264,1
10066,7549,0
7836,298,1
3135,9698,0
6085,5445,0
707,10092,0
2957,5473,1
3135,823,1
10620,5681,1
12038,7694,0
3135,6416,1
9996,2187,0
3078,5702,1
6383,2567,1
5667,3910,0
2281,517,1
